ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,referrer,user_agent,request_body_len,response_body_len,status_code,status_msg,info_code,info_msg,filename,tags,username,password,proxied,orig_fuids,orig_mime_types,resp_fuids,resp_mime_types
"1445422160.958470","CTLRyA2VZnI0G0Ioda","192.168.2.64","51827","192.168.88.51","80","1","GET","-","/","-","-","0","2467","200","OK","-","-","-","(empty)","-","-","-","-","-","F0tNl28XAlwChFpvc","text/html"
"1445422160.959613","CojNPR3SMW53I6b9c7","192.168.2.64","51834","192.168.88.60","80","1","GET","-","/","-","-","0","254","302","Redirect","-","-","-","(empty)","-","-","-","-","-","F4g28g4KbIf9S4C3D8","text/html"
"1445422160.958110","CERnSV1KTUPoSLBT2k","192.168.2.64","51824","192.168.88.49","80","1","GET","-","/","-","-","0","714","200","OK","-","-","-","(empty)","-","-","-","-","-","FeYOGC1mLh5bUFVblb","text/html"
"1445422160.962326","CJgX1z3hG0NWfniAxh","192.168.2.64","51821","192.168.88.25","80","1","GET","-","/","-","-","0","0","401","Not authorized","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422161.005907","C5bfS73u3gyLjp2H","192.168.2.64","51866","192.168.88.49","80","1","OPTIONS","-","/","-","-","0","148","501","Not Implemented","-","-","-","(empty)","-","-","-","-","-","FXcukj3ZXni7wrKBQk","text/html"
"1445422161.015944","CeKyDY1iLVxpo0H3lk","192.168.2.64","51865","192.168.88.25","80","1","OPTIONS","-","/","-","-","0","0","501","Not implemented","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422161.048046","Cig0dO2RyXlM1auQb2","192.168.2.64","51868","192.168.88.25","80","1","OPTIONS","-","/ RTSP/1.","-","-","0","0","501","Not implemented","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422161.067541","CpDtFi452cbzBwnm79","192.168.2.64","51848","192.168.88.95","80","1","GET","-","/","-","-","0","0","302","Redirect","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422161.971021","CmkQf92ndfptNIRv0g","192.168.2.64","51840","192.168.88.61","80","1","GET","-","/","-","-","0","254","302","Redirect","-","-","-","(empty)","-","-","-","-","-","FbLKi63AJKuVuwNpX4","text/html"
"1445422165.973755","CwmdH63TccpEdTOxme","192.168.2.64","51884","192.168.88.51","5120","1","GET","-","/","-","-","0","2467","200","OK","-","-","-","(empty)","-","-","-","-","-","FE1wg53KDcftda4L1","text/html"
"1445422166.094773","CyzaFd4LnRv0T4H2r1","192.168.2.64","51890","192.168.88.25","80","1","GET","-","/nice ports,/Trinity.txt.bak","-","-","0","0","401","Not authorized","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422166.330199","CZQrRD26NjVCsNhBCd","192.168.2.64","51892","192.168.88.25","80","1","-","-","-","-","-","0","0","501","Not implemented","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422166.350697","C1DfHtw6cwDmzbZhd","192.168.2.64","51855","192.168.88.115","80","1","GET","-","/","-","-","0","0","302","Redirect","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422164.185046","C1CBxM1wcplvqY1lnj","192.168.2.64","51852","192.168.88.100","80","1","GET","-","/","-","-","0","0","-","-","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422169.190304","Cn0A1j4Aiq9gIQ5hyk","192.168.2.64","51904","192.168.88.100","80","1","OPTIONS","-","/","-","-","0","0","-","-","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422180.762038","CXscW3dzDXXsOoU91","192.168.2.64","51825","192.168.88.49","49152","1","GET","-","/nice ports,/Trinity.txt.bak","-","-","0","48","404","Not Found","-","-","-","(empty)","-","-","-","-","-","FKKNDO3x3PISKu5Ml","text/html"
"1445422180.767008","Cljxky2x7iBkD79KZ","192.168.2.64","51912","192.168.88.49","49152","1","GET","-","/","-","-","0","48","404","Not Found","-","-","-","(empty)","-","-","-","-","-","FFTwot1gPTSWhZ9yvk","text/html"
"1445422180.769318","CmOMIj19go2r58DE5h","192.168.2.64","51928","192.168.88.49","49152","1","OPTIONS","-","/","-","-","0","54","501","Not Implemented","-","-","-","(empty)","-","-","-","-","-","FuoT4G3J8ps3b2S5Xd","text/html"
"1445422181.406742","CObEoL3P7KJu1GiqMg","192.168.2.64","51950","192.168.88.25","80","1","-","-","-","-","-","0","0","501","Not implemented","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422181.439820","CfaK3LpJhGWdAxLye","192.168.2.64","51951","192.168.88.25","80","1","-","-","-","-","-","0","0","501","Not implemented","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422181.472541","CGOZLe1bBAG4TEs9zf","192.168.2.64","51952","192.168.88.25","80","1","-","-","-","-","-","0","0","501","Not implemented","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422174.196862","C0Yyks2bOudLBgNXz","192.168.2.64","51927","192.168.88.100","80","1","OPTIONS","-","/ RTSP/1.","-","-","0","0","-","-","-","-","-","(empty)","-","-","-","-","-","-","-"
"1445422186.529325","CN8OZt3x1cJUfc8WH9","192.168.2.64","51966","192.168.88.25","80","1","-","-","-","-","-","0","0","501","Not implemented","-","-","-","(empty)","-","-","-","-","-","-","-"
